id,name,ec,gene,organism,uniprot
enz_ec_1_2_1_31,EC 1.2.1.31,1.2.1.31,,,
enz_ec_1_5_1_12,EC 1.5.1.12,1.5.1.12,,,
enz_ec_1_5_1_2,EC 1.5.1.2,1.5.1.2,,,
enz_ec_1_5_99_8,EC 1.5.99.8,1.5.99.8,,,
enz_ec_2_6_1_85,EC 2.6.1.85,2.6.1.85,,,
enz_ec_2_7_8_13,EC 2.7.8.13,2.7.8.13,,,
enz_ec_1_4_3_5,EC 1.4.3.5,1.4.3.5,,,
enz_ec_1_4_3_21,EC 1.4.3.21,1.4.3.21,,,
enz_ec_1_4_3_22,EC 1.4.3.22,1.4.3.22,,,
enz_ec_1_4_3_4,EC 1.4.3.4,1.4.3.4,,,
enz_ec_1_4_3_6,EC 1.4.3.6,1.4.3.6,,,
enz_ec_1_4_9_2,EC 1.4.9.2,1.4.9.2,,,
enz_ec_1_4_99_4,EC 1.4.99.4,1.4.99.4,,,
enz_ec_1_1_1_290,EC 1.1.1.290,1.1.1.290,,,
enz_ec_1_1_1_95,EC 1.1.1.95,1.1.1.95,,,
enz_ec_3_1_3_18,EC 3.1.3.18,3.1.3.18,,,
enz_ec_3_1_3_29,EC 3.1.3.29,3.1.3.29,,,
enz_ec_5_4_2_4,EC 5.4.2.4,5.4.2.4,,,
enz_ec_5_4_2_10,EC 5.4.2.10,5.4.2.10,,,
enz_ec_5_4_2_2,EC 5.4.2.2,5.4.2.2,,,
enz_ec_5_4_2_5,EC 5.4.2.5,5.4.2.5,,,
enz_ec_5_4_2_6,EC 5.4.2.6,5.4.2.6,,,
enz_ec_5_4_2_8,EC 5.4.2.8,5.4.2.8,,,
enz_ec_2_5_1_143,EC 2.5.1.143,2.5.1.143,,,
enz_ec_4_1_1_123,EC 4.1.1.123,4.1.1.123,,,
enz_ec_2_5_1_48,EC 2.5.1.48,2.5.1.48,,,
enz_ec_4_1_1_28,EC 4.1.1.28,4.1.1.28,,,
enz_ec_4_1_1_53,EC 4.1.1.53,4.1.1.53,,,
enz_ec_4_3_3_6,EC 4.3.3.6,4.3.3.6,,,
enz_ec_2_7_4_7,EC 2.7.4.7,2.7.4.7,,,
enz_ec_3_5_1_92,EC 3.5.1.92,3.5.1.92,,,
enz_ec_4_2_1_28,EC 4.2.1.28,4.2.1.28,,,
enz_ec_1_20_1_1,EC 1.20.1.1,1.20.1.1,,,
enz_ec_5_3_1_24,EC 5.3.1.24,5.3.1.24,,,
enz_ec_1_1_1_244,EC 1.1.1.244,1.1.1.244,,,
enz_ec_1_1_2_7,EC 1.1.2.7,1.1.2.7,,,
enz_ec_1_1_3_13,EC 1.1.3.13,1.1.3.13,,,
enz_ec_1_1_99_37,EC 1.1.99.37,1.1.99.37,,,
enz_ec_1_1_99_8,EC 1.1.99.8,1.1.99.8,,,
enz_ec_1_11_1_21,EC 1.11.1.21,1.11.1.21,,,
enz_ec_1_11_1_6,EC 1.11.1.6,1.11.1.6,,,
enz_ec_1_2_98_1,EC 1.2.98.1,1.2.98.1,,,
enz_ec_1_2_99_4,EC 1.2.99.4,1.2.99.4,,,
enz_ec_2_5_1_19,EC 2.5.1.19,2.5.1.19,,,
enz_ec_1_4_3_10,EC 1.4.3.10,1.4.3.10,,,
enz_ec_2_6_1_29,EC 2.6.1.29,2.6.1.29,,,
enz_ec_2_6_1_82,EC 2.6.1.82,2.6.1.82,,,
enz_ec_1_2_1_24,EC 1.2.1.24,1.2.1.24,,,
enz_ec_1_2_3_1,EC 1.2.3.1,1.2.3.1,,,
enz_ec_1_2_3_8,EC 1.2.3.8,1.2.3.8,,,
enz_ec_1_1_1_65,EC 1.1.1.65,1.1.1.65,,,
enz_ec_1_1_3_12,EC 1.1.3.12,1.1.3.12,,,
enz_ec_1_13_11_9,EC 1.13.11.9,1.13.11.9,,,
enz_ec_1_3_1_104,EC 1.3.1.104,1.3.1.104,,,
enz_ec_1_3_1_38,EC 1.3.1.38,1.3.1.38,,,
enz_ec_1_3_1_8,EC 1.3.1.8,1.3.1.8,,,
enz_ec_1_3_1_93,EC 1.3.1.93,1.3.1.93,,,
enz_ec_1_3_3_6,EC 1.3.3.6,1.3.3.6,,,
enz_ec_1_3_8_7,EC 1.3.8.7,1.3.8.7,,,
enz_ec_1_3_8_8,EC 1.3.8.8,1.3.8.8,,,
enz_ec_1_3_8_9,EC 1.3.8.9,1.3.8.9,,,
enz_ec_1_3_99_13,EC 1.3.99.13,1.3.99.13,,,
enz_ec_1_3_99_3,EC 1.3.99.3,1.3.99.3,,,
enz_ec_1_4_3_13,EC 1.4.3.13,1.4.3.13,,,
enz_ec_2_7_1_145,EC 2.7.1.145,2.7.1.145,,,
enz_ec_2_7_1_21,EC 2.7.1.21,2.7.1.21,,,
enz_ec_1_5_3_13,EC 1.5.3.13,1.5.3.13,,,
enz_ec_1_5_3_17,EC 1.5.3.17,1.5.3.17,,,
enz_ec_3_5_1_24,EC 3.5.1.24,3.5.1.24,,,
enz_ec_2_5_1_46,EC 2.5.1.46,2.5.1.46,,,
enz_ec_3_5_99_12,EC 3.5.99.12,3.5.99.12,,,
enz_ec_3_5_99_15,EC 3.5.99.15,3.5.99.15,,,
enz_ec_3_5_99_16,EC 3.5.99.16,3.5.99.16,,,
enz_ec_4_3_3_3,EC 4.3.3.3,4.3.3.3,,,
enz_ec_4_3_3_4,EC 4.3.3.4,4.3.3.4,,,
enz_ec_3_5_99_14,EC 3.5.99.14,3.5.99.14,,,
enz_ec_4_2_1_78,EC 4.2.1.78,4.2.1.78,,,
enz_ec_2_6_1_42,EC 2.6.1.42,2.6.1.42,,,
enz_ec_1_14_11_55,EC 1.14.11.55,1.14.11.55,,,
enz_ec_1_14_11_76,EC 1.14.11.76,1.14.11.76,,,
enz_ec_1_14_99_45,EC 1.14.99.45,1.14.99.45,,,
enz_ec_2_1_1_277,EC 2.1.1.277,2.1.1.277,,,
enz_ec_2_1_1_304,EC 2.1.1.304,2.1.1.304,,,
enz_ec_2_1_1_350,EC 2.1.1.350,2.1.1.350,,,
enz_ec_2_1_1_37,EC 2.1.1.37,2.1.1.37,,,
enz_ec_2_1_1_97,EC 2.1.1.97,2.1.1.97,,,
enz_ec_3_5_1_14,EC 3.5.1.14,3.5.1.14,,,
enz_ec_3_5_1_12,EC 3.5.1.12,3.5.1.12,,,
enz_ec_3_1_1_93,EC 3.1.1.93,3.1.1.93,,,
enz_ec_3_2_1_117,EC 3.2.1.117,3.2.1.117,,,
enz_ec_3_2_1_149,EC 3.2.1.149,3.2.1.149,,,
enz_ec_3_2_1_21,EC 3.2.1.21,3.2.1.21,,,
enz_ec_1_13_11_33,EC 1.13.11.33,1.13.11.33,,,
enz_ec_1_13_11_34,EC 1.13.11.34,1.13.11.34,,,
enz_ec_1_13_11_40,EC 1.13.11.40,1.13.11.40,,,
enz_ec_2_3_1_199,EC 2.3.1.199,2.3.1.199,,,
enz_ec_1_1_1_100,EC 1.1.1.100,1.1.1.100,,,
enz_ec_1_1_1_211,EC 1.1.1.211,1.1.1.211,,,
enz_ec_1_1_1_330,EC 1.1.1.330,1.1.1.330,,,
enz_ec_1_11_2_3,EC 1.11.2.3,1.11.2.3,,,
enz_ec_2_6_1_69,EC 2.6.1.69,2.6.1.69,,,
enz_ec_3_5_3_23,EC 3.5.3.23,3.5.3.23,,,
enz_ec_2_6_1_81,EC 2.6.1.81,2.6.1.81,,,
enz_ec_1_5_3_14,EC 1.5.3.14,1.5.3.14,,,
enz_ec_1_5_99_6,EC 1.5.99.6,1.5.99.6,,,
enz_ec_1_2_1_16,EC 1.2.1.16,1.2.1.16,,,
enz_ec_1_2_1_26,EC 1.2.1.26,1.2.1.26,,,
enz_ec_1_2_1_79,EC 1.2.1.79,1.2.1.79,,,
enz_ec_2_8_3_28,EC 2.8.3.28,2.8.3.28,,,
enz_ec_4_2_1_175,EC 4.2.1.175,4.2.1.175,,,
enz_ec_1_14_13_21,EC 1.14.13.21,1.14.13.21,,,
enz_ec_1_14_13_36,EC 1.14.13.36,1.14.13.36,,,
enz_ec_1_14_13_88,EC 1.14.13.88,1.14.13.88,,,
enz_ec_1_14_14_9,EC 1.14.14.9,1.14.14.9,,,
enz_ec_1_14_18_1,EC 1.14.18.1,1.14.18.1,,,
enz_ec_4_2_1_32,EC 4.2.1.32,4.2.1.32,,,
enz_ec_4_2_1_81,EC 4.2.1.81,4.2.1.81,,,
enz_ec_4_1_1_73,EC 4.1.1.73,4.1.1.73,,,
enz_ec_1_14_11_17,EC 1.14.11.17,1.14.11.17,,,
enz_ec_1_14_14_5,EC 1.14.14.5,1.14.14.5,,,
enz_ec_2_1_2_1,EC 2.1.2.1,2.1.2.1,,,
enz_ec_4_1_2_42,EC 4.1.2.42,4.1.2.42,,,
enz_ec_4_1_2_48,EC 4.1.2.48,4.1.2.48,,,
enz_ec_4_1_2_49,EC 4.1.2.49,4.1.2.49,,,
enz_ec_4_1_2_5,EC 4.1.2.5,4.1.2.5,,,
enz_ec_4_1_1_81,EC 4.1.1.81,4.1.1.81,,,
enz_ec_4_2_3_1,EC 4.2.3.1,4.2.3.1,,,
enz_ec_4_2_99_2,EC 4.2.99.2,4.2.99.2,,,
enz_ec_2_2_1_1,EC 2.2.1.1,2.2.1.1,,,
enz_ec_2_1_1_247,EC 2.1.1.247,2.1.1.247,,,
enz_ec_2_1_1_250,EC 2.1.1.250,2.1.1.250,,,
enz_ec_3_5_99_2,EC 3.5.99.2,3.5.99.2,,,
enz_ec_1_4_1_20,EC 1.4.1.20,1.4.1.20,,,
enz_ec_1_4_3_2,EC 1.4.3.2,1.4.3.2,,,
enz_ec_1_4_3_3,EC 1.4.3.3,1.4.3.3,,,
enz_ec_2_6_1_1,EC 2.6.1.1,2.6.1.1,,,
enz_ec_2_6_1_27,EC 2.6.1.27,2.6.1.27,,,
enz_ec_2_6_1_5,EC 2.6.1.5,2.6.1.5,,,
enz_ec_2_6_1_57,EC 2.6.1.57,2.6.1.57,,,
enz_ec_2_6_1_9,EC 2.6.1.9,2.6.1.9,,,
enz_ec_6_3_2_13,EC 6.3.2.13,6.3.2.13,,,
enz_ec_6_3_2_4,EC 6.3.2.4,6.3.2.4,,,
enz_ec_6_3_4_6,EC 6.3.4.6,6.3.4.6,,,
enz_ec_1_1_1_154,EC 1.1.1.154,1.1.1.154,,,
enz_ec_1_1_1_350,EC 1.1.1.350,1.1.1.350,,,
enz_ec_2_7_4_13,EC 2.7.4.13,2.7.4.13,,,
enz_ec_2_7_4_14,EC 2.7.4.14,2.7.4.14,,,
enz_ec_2_7_4_4,EC 2.7.4.4,2.7.4.4,,,
enz_ec_2_7_4_9,EC 2.7.4.9,2.7.4.9,,,
enz_ec_1_4_1_23,EC 1.4.1.23,1.4.1.23,,,
enz_ec_1_4_1_8,EC 1.4.1.8,1.4.1.8,,,
enz_ec_1_4_1_9,EC 1.4.1.9,1.4.1.9,,,
enz_ec_6_2_1_28,EC 6.2.1.28,6.2.1.28,,,
enz_ec_6_2_1_3,EC 6.2.1.3,6.2.1.3,,,
enz_ec_6_2_1_42,EC 6.2.1.42,6.2.1.42,,,
enz_ec_6_2_1_7,EC 6.2.1.7,6.2.1.7,,,
enz_ec_1_2_1_67,EC 1.2.1.67,1.2.1.67,,,
enz_ec_1_2_3_9,EC 1.2.3.9,1.2.3.9,,,
enz_ec_1_2_1_28,EC 1.2.1.28,1.2.1.28,,,
enz_ec_1_2_1_64,EC 1.2.1.64,1.2.1.64,,,
enz_ec_1_2_1_7,EC 1.2.1.7,1.2.1.7,,,
enz_ec_1_2_1_96,EC 1.2.1.96,1.2.1.96,,,
enz_ec_2_6_1_66,EC 2.6.1.66,2.6.1.66,,,
enz_ec_1_1_1_179,EC 1.1.1.179,1.1.1.179,,,
enz_ec_1_1_1_359,EC 1.1.1.359,1.1.1.359,,,
enz_ec_1_1_1_10,EC 1.1.1.10,1.1.1.10,,,
enz_ec_1_1_1_12,EC 1.1.1.12,1.1.1.12,,,
enz_ec_1_1_1_13,EC 1.1.1.13,1.1.1.13,,,
enz_ec_1_1_1_14,EC 1.1.1.14,1.1.1.14,,,
enz_ec_1_1_1_15,EC 1.1.1.15,1.1.1.15,,,
enz_ec_1_1_1_56,EC 1.1.1.56,1.1.1.56,,,
enz_ec_1_1_1_9,EC 1.1.1.9,1.1.1.9,,,
enz_ec_3_5_1_111,EC 3.5.1.111,3.5.1.111,,,
enz_ec_3_5_1_3,EC 3.5.1.3,3.5.1.3,,,
enz_ec_2_6_1_15,EC 2.6.1.15,2.6.1.15,,,
enz_ec_4_2_3_2,EC 4.2.3.2,4.2.3.2,,,
enz_ec_3_5_1_9,EC 3.5.1.9,3.5.1.9,,,
enz_ec_1_14_18_2,EC 1.14.18.2,1.14.18.2,,,
enz_ec_3_4_13_20,EC 3.4.13.20,3.4.13.20,,,
enz_ec_3_4_13_3,EC 3.4.13.3,3.4.13.3,,,
enz_ec_3_4_13_5,EC 3.4.13.5,3.4.13.5,,,
enz_ec_6_3_2_11,EC 6.3.2.11,6.3.2.11,,,
enz_ec_2_6_1_22,EC 2.6.1.22,2.6.1.22,,,
enz_ec_2_6_1_40,EC 2.6.1.40,2.6.1.40,,,
enz_ec_2_3_2_2,EC 2.3.2.2,2.3.2.2,,,
enz_ec_2_3_1_26,EC 2.3.1.26,2.3.1.26,,,
enz_ec_3_1_1_13,EC 3.1.1.13,3.1.1.13,,,
enz_ec_4_1_3_17,EC 4.1.3.17,4.1.3.17,,,
enz_ec_3_1_1_22,EC 3.1.1.22,3.1.1.22,,,
enz_ec_3_1_1_75,EC 3.1.1.75,3.1.1.75,,,
enz_ec_2_3_1_103,EC 2.3.1.103,2.3.1.103,,,
enz_ec_2_4_99_20,EC 2.4.99.20,2.4.99.20,,,
enz_ec_3_2_2_5,EC 3.2.2.5,3.2.2.5,,,
