id,name,ec,source,smarts,ec_list,score,datasets,radius,is_balanced
rr_MNXR100656,RetroRules reaction MNXR100656,3.7.1.3,retrorules,[C;H3:1]-[C;H1:2](-[N;H2:3])-[C;H0:4]>>[N;H2]-[c;H0]1:[c;H0](-[O;H1]):[c;H1]:[c;H1]:[c;H1]:[c;H0]:1-[C;H0](=[O;H0])-[C;H2:1]-[C;H1:2](-[N;H2:3])-[C;H0:4],3.7.1.3,0.3976353704929352,metanetx,2,B
rr_MNXR100700,RetroRules reaction MNXR100700,4.1.1,retrorules,[O;H0:1]=[C;H0:2](-[O;H1:3])-[C;H0:4](=[O;H0:5])-[C;H2:6]>>[C;H1:4](=[O;H0:5])-[C;H2:6].[O;H0:1]=[C;H0:2]=[O;H0:3],4.1.1;4.1.1.40;4.1.1.43;4.1.1.74;4.1.1.79;4.1.1.80;4.1.4.3,0.5266404151916504,metanetx,1,B
rr_MNXR100720,RetroRules reaction MNXR100720,,retrorules,[C;H3:1]-[C;H1:2](-[C;H0:3](=[O;H0:4])-[C;H2:5]-[C;H2:6]-[C;H1:7](-[C;H3:8])-[C;H1:9]1-[C;H2:10]-[C;H2:11]-[C;H1:12]2-[C;H1:13]3-[C;H1:14](-[O;H1:15])-[C;H2:16]-[C;H1:17]-[C;H0:18](-[C;H2:19])(-[C;H3:20])-[C;H1:21]-3-[C;H2:22]-[C;H1:23](-[O;H1:24])-[C;H0:25]-1-2-[C;H3:26])-[C;H0:27](=[O;H0:28])-[S;H0:29]-[C;H2:30]-[C;H2:31]-[N;H1:32]-[C;H0:33](=[O;H0:34])-[C;H2:35]-[C;H2:36]-[N;H1:37]-[C;H0:38]>>[C;H3:1]-[C;H0:2](=[C;H1:3]-[C;H2:5]-[C;H2:6]-[C;H1:7](-[C;H3:8])-[C;H1:9]1-[C;H2:10]-[C;H2:11]-[C;H1:12]2-[C;H1:13]3-[C;H1:14](-[O;H1:15])-[C;H2:16]-[C;H1:17]-[C;H0:18](-[C;H2:19])(-[C;H3:20])-[C;H1:21]-3-[C;H2:22]-[C;H1:23](-[O;H1:24])-[C;H0:25]-1-2-[C;H3:26])-[C;H0:27](=[O;H0:28])-[S;H0:29]-[C;H2:30]-[C;H2:31]-[N;H1:32]-[C;H0:33](=[O;H0:34])-[C;H2:35]-[C;H2:36]-[N;H1:37]-[C;H0:38].[O;H0]=[O;H0:4],,0.0933813825249672,metanetx,10,B
rr_MNXR100721,RetroRules reaction MNXR100721,,retrorules,[C;H3:1]-[C;H0:2](=[C;H1:3]-[C;H2:4]-[C;H2:5]-[C;H1:6](-[C;H3:7])-[C;H1:8]1-[C;H2:9]-[C;H2:10]-[C;H1:11]2-[C;H1:12]3-[C;H1:13](-[O;H1:14])-[C;H2:15]-[C;H1:16]-[C;H0:17](-[C;H2:18])(-[C;H3:19])-[C;H1:20]-3-[C;H2:21]-[C;H1:22](-[O;H1:23])-[C;H0:24]-1-2-[C;H3:25])-[C;H0:26](=[O;H0:27])-[S;H0:28]-[C;H2:29]-[C;H2:30]-[N;H1:31]-[C;H0:32](=[O;H0:33])-[C;H2:34]-[C;H2:35]-[N;H1:36]-[C;H0:37](=[O;H0:38])-[C;H1:39](-[O;H1:40])-[C;H0:41](-[C;H3:42])(-[C;H3:43])-[C;H2:44]-[O;H0:45]-[P;H0:46](=[O;H0:47])(-[O;H1:48])-[O;H0:49]-[P;H0:50](-[O;H0:51]-[C;H2:52]-[C;H1:53]1-[C;H1:54](-[O;H0:55]-[P;H0:56](-[O;H1:57])(=[O;H0:58])-[O;H1:59])-[C;H1:60](-[O;H1:61])-[C;H1:62](-[n;H0:63]2:[c;H1:64]:[n;H0:65]:[c;H0:66]3:[c;H0:67](-[N;H2:68]):[n;H0:69]:[c;H1:70]:[n;H0:71]:[c;H0:72]:2:3)-[O;H0:73]-1)(=[O;H0:74])-[O;H1:75]>>[O;H0]=[C;H0:3](-[C;H1:2](-[C;H3:1])-[C;H0:26](=[O;H0:27])-[S;H0:28]-[C;H2:29]-[C;H2:30]-[N;H1:31]-[C;H0:32](=[O;H0:33])-[C;H2:34]-[C;H2:35]-[N;H1:36]-[C;H0:37](=[O;H0:38])-[C;H1:39](-[O;H1:40])-[C;H0:41](-[C;H3:42])(-[C;H3:43])-[C;H2:44]-[O;H0:45]-[P;H0:46](=[O;H0:47])(-[O;H1:48])-[O;H0:57]-[P;H0:56](=[O;H0:58])(-[O;H1:59])-[O;H0:55]-[C;H2:54]-[C;H1:53]1-[O;H0:73]-[C;H1:62](-[n;H0:63]2:[c;H1:64]:[n;H0:65]:[c;H0:66]3:[c;H0:67](-[N;H2:68]):[n;H0:69]:[c;H1:70]:[n;H0:71]:[c;H0:72]:2:3)-[C;H1:60](-[O;H1:61])-[C;H1:52]-1-[O;H0:51]-[P;H0:50](=[O;H0:74])(-[O;H1:75])-[O;H1:49])-[C;H2:4]-[C;H2:5]-[C;H1:6](-[C;H3:7])-[C;H1:8]1-[C;H2:9]-[C;H2:10]-[C;H1:11]2-[C;H1:12]3-[C;H1:13](-[O;H1:14])-[C;H2:15]-[C;H1:16]-[C;H0:17](-[C;H2:18])(-[C;H3:19])-[C;H1:20]-3-[C;H2:21]-[C;H1:22](-[O;H1:23])-[C;H0:24]-1-2-[C;H3:25],,0.0933813825249672,metanetx,10,B
rr_MNXR100733,RetroRules reaction MNXR100733,4.4.1.1,retrorules,([N;H2:1]-[C;H1:2].[C;H2:3]-[O;H1:4])>>([C;H0:2]=[O;H0:4].[C;H3:3]).[N;H3:1],4.4.1.1,0.8408964276313782,metanetx,0,B
rr_MNXR100737,RetroRules reaction MNXR100737,2.7.1.39,retrorules,[N;H2:1]-[C;H1:2](-[C;H2:3]-[C;H2:4]-[O;H0:5]-[P;H0:6](=[O;H0:7])(-[O;H1:8])-[O;H1:9])-[C;H0:10]>>[N;H2:1]-[C;H1:2](-[C;H2:3]-[C;H2:4]-[O;H1:5])-[C;H0:10].[N;H2]-[c;H0]1:[n;H0]:[c;H1]:[n;H0]:[c;H0]2:[c;H0]:1:[n;H0]:[c;H1]:[n;H0]:2-[C;H1]1-[O;H0]-[C;H1](-[C;H2]-[O;H0]-[P;H0](=[O;H0])(-[O;H1])-[O;H0]-[P;H0](=[O;H0])(-[O;H1])-[O;H0]-[P;H0:6](=[O;H0:7])(-[O;H1:8])-[O;H1:9])-[C;H1](-[O;H1])-[C;H1]-1-[O;H1],2.7.1.39,0.2891784906387329,metanetx,4,B
rr_MNXR100740,RetroRules reaction MNXR100740,2.5.1.44,retrorules,[N;H2:1]-[C;H2:2]-[C;H2:3]-[C;H2:4]-[C;H2:5]-[N;H2:6]>>[N;H2]-[C;H2]-[C;H2]-[C;H2]-[C;H2]-[N;H1]-[C;H2:5]-[C;H2:4]-[C;H2:3]-[C;H2:2]-[N;H2:1].[N;H3:6],2.5.1.44,1.0,metanetx,10,B
rr_MNXR100763,RetroRules reaction MNXR100763,2.7.1.35,retrorules,[c;H0:1]1:[n;H0:2]:[c;H1:3]:[c;H0:4](-[C;H2:5]-[O;H1:6]):[c;H0:7](-[C;H2:8]-[N;H2:9]):[c;H0:10]:1-[O;H1:11]>>[O;H0]=[P;H0](-[O;H1])(-[O;H1])-[O;H0:6]-[C;H2:5]-[c;H0:4]1:[c;H1:3]:[n;H0:2]:[c;H0:1]:[c;H0:10](-[O;H1:11]):[c;H0:7]:1-[C;H2:8]-[N;H2:9],2.7.1.35;3.1.3.74,0.5946035385131836,metanetx,5,B
rr_MNXR100764,RetroRules reaction MNXR100764,1.14.13.8,retrorules,[C;H2:1]-[S;H0:2](=[O;H0:3])-[O;H1:4]>>[O;H0]=[S;H0:2](-[C;H2:1])(=[O;H0:3])-[O;H1:4],1.14.13.8;1.8.1;1.8.1.3,0.8408964276313782,metanetx,1,B
rr_MNXR100784,RetroRules reaction MNXR100784,5.4.4.2,retrorules,[C;H1:1]=[C;H0:2]-[C;H1:3]=[C;H1:4]-[C;H1:5]>>[C;H1:1]=[C;H1:4]-[C;H1:3]=[C;H0:2]-[C;H1:5],5.4.4.2;5.4.99.6,0.5266404151916504,metanetx,0,B
