id,name,smiles,inchikey,kegg,chebi,role,is_monomer,is_currency,formula,charge,mass
cpd_MNXM744835,Phenylalanyl-Leucyl-Aspartate,CC(C)C[C@H](NC(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N[C@H](CC(=O)[O-])C(=O)O,YKUGPVXSDOOANW-QLFBSQMISA-M,,,intermediate,false,false,C19H26N3O6,-1,392.43200
cpd_MNXM744837,Phenylalanyl-Lysyl-Alanine,C[C@@H](NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](N)CC1=CC=CC=C1)C(=O)O,DNAXXTQSTKOHFO-YUELXQCFSA-O,,,intermediate,false,false,C18H29N4O4,1,365.45400
cpd_MNXM744838,Phenylalanyl-Lysyl-Proline,N[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)O,BNRFQGLWLQESBG-IKGGRYGDSA-O,,,intermediate,false,false,C20H31N4O4,1,391.49200
cpd_MNXM744839,Phenylalanyl-Phenylalaninyl-Asparagine,NC(=O)C[C@@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](N)CC1=CC=CC=C1)C(=O)O,OWSLLRKCHLTUND-FGTMMUONSA-N,,,intermediate,false,false,C22H26N4O5,0,426.47300
cpd_MNXM744840,Phenylalanyl-Phenylalaninyl-Threonine,C[C@@H](O)[C@@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](N)CC1=CC=CC=C1)C(=O)O,MGLBSROLWAWCKN-DQEVTTJGSA-N,,,intermediate,false,false,C22H27N3O5,0,413.47400
cpd_MNXM744841,Phenylalanyl-Prolyl-Arginine,NC(=[NH2+])NCCC[C@@H](NC(=O)[C@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)O,NTUPOKHATNSWCY-BZUAXINKSA-O,,,intermediate,false,false,C20H31N6O4,1,419.50600
cpd_MNXM744843,Phenylalanyl-Threonyl-Lysine,C[C@@H](O)[C@H](NC(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N[C@H](CCCC[NH3+])C(=O)O,PTDAGKJHZBGDKD-MIGQKNRLSA-O,,,intermediate,false,false,C19H31N4O5,1,395.48000
cpd_MNXM744844,Phenylalanyl-Tryptophanyl-Leucine,CC(C)C[C@@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](N)CC1=CC=CC=C1)C(=O)O,AOKZOUGUMLBPSS-AKIFATBCSA-N,,,intermediate,false,false,C26H32N4O4,0,464.56600
cpd_MNXM744846,Phenylalanyl-Tyrosinyl-Glutamine,NC(=O)CC[C@@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](N)CC1=CC=CC=C1)C(=O)O,QUUCAHIYARMNBL-QRVBRYPASA-N,,,intermediate,false,false,C23H28N4O6,0,456.49900
cpd_MNXM744848,Prolyl-Arginyl-Aspartate,NC(=[NH2+])NCCC[C@H](NC(=O)C1CCCN1)C(=O)N[C@H](CC(=O)[O-])C(=O)O,SSSFPISOZOLQNP-CBMCFHRWSA-N,,,intermediate,false,false,C15H26N6O6,0,386.40900
cpd_MNXM744849,Prolyl-Arginyl-Cysteine,NC(=[NH2+])NCCC[C@H](NC(=O)C1CCCN1)C(=O)N[C@H](CS)C(=O)O,OLHDPZMYUSBGDE-CBMCFHRWSA-O,,,intermediate,false,false,C14H27N6O4S,1,375.47500
cpd_MNXM744850,Prolyl-Asparaginyl-Cysteine,NC(=O)C[C@H](NC(=O)C1CCCN1)C(=O)N[C@H](CS)C(=O)O,WECYCNFPGZLOOU-ZHFSPANRSA-N,,,intermediate,false,false,C12H20N4O5S,0,332.38200
cpd_MNXM744854,Prolyl-Glutaminyl-Proline,NC(=O)CC[C@H](NC(=O)C1CCCN1)C(=O)N1CCC[C@H]1C(=O)O,SKICPQLTOXGWGO-DVRYWGNFSA-N,,,intermediate,false,false,C15H24N4O5,0,340.38000
cpd_MNXM744855,Prolyl-Glutamatsyl-Lysine,[NH3+]CCCC[C@@H](NC(=O)[C@H](CCC(=O)[O-])NC(=O)C1CCCN1)C(=O)O,VOZIBWWZSBIXQN-GLXQMMQGSA-N,,,intermediate,false,false,C16H28N4O6,0,372.42200
cpd_MNXM744856,Prolyl-Histidine,O=C(N[C@@H](CC1=CNC=N1)C(=O)O)C1CCCN1,BEPSGCXDIVACBU-GKAPJAKFSA-N,,,intermediate,false,false,C11H16N4O3,0,252.27400
cpd_MNXM744858,Prolyl-Leucyl-Arginine,CC(C)C[C@H](NC(=O)C1CCCN1)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)O,YXHYJEPDKSYPSQ-HDYSRYHKSA-O,,,intermediate,false,false,C17H33N6O4,1,385.48900
cpd_MNXM744859,Prolyl-Lysyl-Proline,[NH3+]CCCC[C@H](NC(=O)C1CCCN1)C(=O)N1CCC[C@H]1C(=O)O,ULWBBFKQBDNGOY-SPOOISQMSA-O,,,intermediate,false,false,C16H29N4O4,1,341.43200
cpd_MNXM744860,Prolyl-Prolyl-Arginine,NC(=[NH2+])NCCC[C@@H](NC(=O)[C@H]1CCCN1C(=O)C1CCCN1)C(=O)O,JLMZKEQFMVORMA-PQDIPPBSSA-O,,,intermediate,false,false,C16H29N6O4,1,369.44600
cpd_MNXM744861,Prolyl-Prolyl-Proline,O=C(O)[C@@H]1CCCN1C(=O)[C@H]1CCCN1C(=O)C1CCCN1,SBVPYBFMIGDIDX-SAIIYOCFSA-N,,,intermediate,false,false,C15H23N3O4,0,309.36600
cpd_MNXM744862,Prolyl-Tryptophanyl-Lysine,[NH3+]CCCC[C@@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)C1CCCN1)C(=O)O,FYXCBXDAMPEHIQ-CPSIJMPNSA-O,,,intermediate,false,false,C22H32N5O4,1,430.52900
cpd_MNXM744863,Pro-Trp-Thr,C[C@@H](O)[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@@H]1CCCN1)C(=O)O,VBZXFFYOBDLLFE-HSHDSVGOSA-N,,,intermediate,false,false,C20H26N4O5,0,402.45100
cpd_MNXM744864,Prolyl-Valyl-Glutamine,CC(C)[C@H](NC(=O)C1CCCN1)C(=O)N[C@H](CCC(N)=O)C(=O)O,JXVXYRZQIUPYSA-YWTFCRFGSA-N,,,intermediate,false,false,C15H26N4O5,0,342.39600
cpd_MNXM744872,D-ribitol 5-phosphate,O=P([O-])(O)OCC(O)C(O)C(O)CO,VJDOAZKNBQCAGE-UHFFFAOYSA-M,,,intermediate,false,false,C5H12O8P,-1,231.11700
cpd_MNXM744878,Seryl-Arginyl-Tryptophan,NC(=[NH2+])NCCC[C@H](NC(=O)[C@H](N)CO)C(=O)N[C@H](CC1=CNC2=C1C=CC=C2)C(=O)O,HZWAHWQZPSXNCB-VNQPRFMTSA-O,,,intermediate,false,false,C20H30N7O5,1,448.50400
cpd_MNXM744879,Seryl-Cysteinyl-Arginine,NC(=[NH2+])NCCC[C@@H](NC(=O)[C@H](CS)NC(=O)[C@H](N)CO)C(=O)O,BLPYXIXXCFVIIF-PRJMDXOYSA-O,,,intermediate,false,false,C12H25N6O5S,1,365.43600
cpd_MNXM744881,Seryl-Lysyl-Histidine,N[C@H](CO)C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@H](CC1=CNC=N1)C(=O)O,SRKMDKACHDVPMD-GRYCIOLGSA-O,,,intermediate,false,false,C15H27N6O5,1,371.41800
cpd_MNXM744882,Seryl-Phenylalanyl-Lysine,N[C@H](CO)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@H](CCCC[NH3+])C(=O)O,XVWDJUROVRQKAE-KFWWJZLASA-O,,,intermediate,false,false,C18H29N4O5,1,381.45300
cpd_MNXM744884,Simvastatin-acyl-glucuronide,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)OC3OC(C(=O)O)C(O)C(O)C3O)C21,PBLYTKVVBICSHZ-UHFFFAOYSA-N,,,intermediate,false,false,C31H48O12,0,612.71300
cpd_MNXM744908,Threonyl-Asparaginyl-Tyrosine,C[C@@H](O)[C@@H](N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](CC1=CC=C(O)C=C1)C(=O)O,JVTHIXKSVYEWNI-MPNPMHGUSA-N,,,intermediate,false,false,C17H24N4O7,0,396.40000
cpd_MNXM744912,Threonyl-Isoleucyl-Arginine,CCC(C)[C@H](NC(=O)[C@H](N)[C@@H](C)O)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)O,WPAKPLPGQNUXGN-MTAIEDJOSA-O,,,intermediate,false,false,C16H33N6O5,1,389.47700
